"","Gender","EthnicGroup","ParentEduc","TestPrep","ParentMaritalStatus","PracticeSport","IsFirstChild","NrSiblings","TransportMeans","WklyStudyHours","MathScore","ReadingScore","WritingScore","OverallScore"
"11562","female","Asiática","some college","none","single","regularly",1,1,1,"5 - 10",67,75,68,70
"11563","female","Negra","some high school","none","single","sometimes",1,1,1,"< 5",64,65,57,62
"11565","male","Hispana","bachelor's degree","none","divorced","never",0,1,0,"5 - 10",97,92,88,92
"11568","male","Caucásica","some high school","none","married","sometimes",0,1,0,"5 - 10",43,30,28,34
"11570","female","Hispana","bachelor's degree","none","married","sometimes",1,1,0,"5 - 10",80,95,92,89
"11571","female","Caucásica","bachelor's degree","completed","married","regularly",1,1,1,"< 5",76,97,96,90
"11573","female","Hispana","associate's degree","none","single","sometimes",0,1,0,"5 - 10",58,66,66,63
"11576","male","Negra","some college","completed","single","regularly",0,1,1,"5 - 10",90,82,88,87
"11577","female","Hispana","associate's degree","none","married","regularly",1,1,1,"5 - 10",84,87,90,87
"11579","female","Asiática","bachelor's degree","none","divorced","sometimes",0,1,0,"< 5",68,83,81,77
"11580","female","Hispana","some college","completed","married","sometimes",0,1,1,"5 - 10",81,97,97,92
"11581","female","Negra","some high school","none","single","sometimes",1,1,0,"> 10",63,57,62,61
"11582","male","Hispana","some college","completed","married","never",1,1,0,"< 5",81,89,88,86
"11583","female","Caucásica","bachelor's degree","none","single","sometimes",0,1,1,"5 - 10",69,69,74,71
"11587","male","Hispana","some high school","none","divorced","regularly",0,1,0,"< 5",73,63,60,65
"11588","female","Asiática","bachelor's degree","none","single","regularly",1,1,1,"5 - 10",70,78,79,76
"11589","male","Asiática","some high school","none","married","never",0,1,1,"5 - 10",72,64,60,65
"11592","male","Negra","associate's degree","completed","married","sometimes",0,1,0,"< 5",73,84,78,78
"11594","male","Asiática","associate's degree","none","married","sometimes",1,1,1,"5 - 10",50,53,43,49
"11595","male","Americana","high school","completed","married","sometimes",0,1,0,"5 - 10",93,86,84,88
"11596","male","Negra","associate's degree","none","married","sometimes",0,1,0,"< 5",62,50,55,56
"11597","female","Asiática","some high school","none","single","sometimes",0,1,0,"5 - 10",60,65,67,64
"11598","male","Hispana","some high school","none","divorced","never",0,0,0,"> 10",62,58,56,59
"11599","female","Hispana","bachelor's degree","none","married","regularly",0,1,0,"5 - 10",77,84,86,82
"11601","female","Negra","bachelor's degree","none","married","sometimes",1,1,1,"5 - 10",77,92,91,87
"11602","male","Hispana","associate's degree","none","married","sometimes",0,0,0,"5 - 10",56,50,54,53
"11606","male","Hispana","associate's degree","none","single","sometimes",0,1,0,"5 - 10",66,66,61,64
"11607","male","Hispana","some high school","none","married","sometimes",0,1,0,"< 5",48,39,41,43
"11608","male","Negra","master's degree","none","married","regularly",1,1,1,"5 - 10",53,50,51,51
"11609","male","Asiática","some high school","none","divorced","regularly",0,1,0,"5 - 10",50,56,46,51
"11610","female","Hispana","some college","none","married","sometimes",0,1,0,"< 5",78,77,80,78
"11611","male","Hispana","associate's degree","completed","single","regularly",0,1,0,"5 - 10",74,63,68,68
"11616","male","Asiática","bachelor's degree","none","married","sometimes",0,1,0,"> 10",94,96,88,93
"11617","male","Asiática","master's degree","none","single","sometimes",0,1,1,"5 - 10",42,51,45,46
"11618","female","Asiática","some high school","none","married","regularly",0,1,0,"> 10",75,84,79,79
"11619","female","Caucásica","associate's degree","completed","single","sometimes",0,1,1,"> 10",78,87,88,84
"11620","male","Negra","some college","none","married","regularly",0,1,1,"> 10",62,59,62,61
"11621","female","Negra","some high school","completed","single","regularly",1,1,1,"5 - 10",70,82,82,78
"11623","female","Asiática","bachelor's degree","none","single","sometimes",0,1,0,"> 10",65,77,76,73
"11624","female","Asiática","bachelor's degree","completed","divorced","sometimes",0,0,1,"> 10",69,90,83,81
"11625","male","Asiática","associate's degree","completed","married","regularly",0,0,0,"> 10",65,53,52,57
"11626","female","Hispana","some high school","completed","married","sometimes",1,1,1,"5 - 10",71,89,87,82
"11628","male","Asiática","some high school","completed","single","regularly",0,1,1,"< 5",84,78,77,80
"11629","female","Hispana","bachelor's degree","none","married","regularly",0,1,1,"< 5",59,70,69,66
"11630","female","Negra","some college","none","married","sometimes",0,1,0,"> 10",54,54,63,57
"11631","male","Caucásica","some college","none","married","regularly",1,1,0,"< 5",78,74,70,74
"11632","female","Asiática","high school","none","married","sometimes",0,1,0,"> 10",80,89,91,87
"11633","male","Caucásica","some college","completed","married","sometimes",0,1,1,"5 - 10",100,99,95,98
"11634","female","Asiática","associate's degree","completed","married","regularly",0,1,1,"< 5",68,72,80,73
"11635","male","Americana","some college","completed","married","regularly",0,0,0,"< 5",78,84,80,81
"11636","female","Asiática","bachelor's degree","none","divorced","regularly",0,0,1,"5 - 10",80,89,90,86
"11638","male","Asiática","associate's degree","none","single","never",0,1,0,"5 - 10",66,74,69,70
"11639","female","Negra","some college","none","married","never",0,1,1,"5 - 10",48,56,56,53
"11640","female","Asiática","high school","completed","married","regularly",1,1,0,"5 - 10",86,94,100,93
"11641","female","Americana","associate's degree","none","divorced","regularly",0,1,0,"< 5",66,69,71,69
"11643","male","Asiática","associate's degree","none","divorced","sometimes",0,1,0,"5 - 10",69,56,58,61
"11645","male","Asiática","some college","completed","divorced","never",1,1,1,"5 - 10",59,59,56,58
"11646","male","Hispana","some college","none","married","sometimes",0,1,0,"5 - 10",64,57,54,58
"11649","male","Caucásica","some high school","none","married","sometimes",0,1,1,"5 - 10",77,64,61,67
"11653","female","Hispana","high school","none","single","sometimes",0,1,0,"5 - 10",60,60,60,60
"11656","male","Caucásica","bachelor's degree","none","married","sometimes",1,1,0,"5 - 10",97,87,83,89
"11657","female","Caucásica","bachelor's degree","none","divorced","sometimes",0,1,1,"< 5",80,89,83,84
"11659","male","Caucásica","associate's degree","completed","married","never",1,1,0,"5 - 10",85,82,76,81
"11660","female","Caucásica","associate's degree","none","divorced","sometimes",0,1,1,"< 5",53,66,59,59
"11661","male","Caucásica","some college","completed","married","sometimes",1,1,0,"5 - 10",58,42,48,49
"11662","female","Asiática","some college","none","widowed","regularly",1,1,0,"5 - 10",48,58,59,55
"11663","male","Asiática","associate's degree","completed","single","regularly",0,1,1,"< 5",75,74,76,75
"11664","male","Caucásica","some high school","none","married","regularly",0,1,0,"> 10",71,52,48,57
"11666","male","Asiática","associate's degree","completed","married","sometimes",0,1,0,"5 - 10",89,79,75,81
"11667","male","Negra","some high school","none","married","regularly",0,1,1,"5 - 10",61,53,52,55
"11668","female","Asiática","bachelor's degree","none","divorced","sometimes",0,1,1,"5 - 10",62,73,68,68
"11671","male","Hispana","high school","none","single","regularly",1,1,0,"5 - 10",81,69,72,74
"11673","male","Hispana","some college","completed","single","regularly",0,1,0,"5 - 10",92,86,91,90
"11675","male","Americana","associate's degree","completed","married","regularly",0,1,1,"< 5",95,91,92,93
"11676","male","Caucásica","some high school","none","divorced","sometimes",0,1,0,"5 - 10",83,83,72,79
"11678","male","Hispana","high school","none","married","regularly",0,1,1,"< 5",79,59,62,67
"11681","male","Hispana","bachelor's degree","none","single","regularly",0,0,0,"5 - 10",99,100,99,99
"11683","female","Americana","associate's degree","completed","married","sometimes",0,1,0,"5 - 10",57,54,60,57
"11685","male","Negra","some college","none","married","regularly",0,0,0,"5 - 10",51,52,50,51
"11686","female","Asiática","some college","completed","married","sometimes",1,1,0,"< 5",66,74,76,72
"11689","male","Asiática","high school","none","married","sometimes",0,1,1,"> 10",61,72,66,66
"11690","male","Caucásica","some high school","none","married","sometimes",1,1,0,"< 5",62,53,49,55
"11691","female","Asiática","high school","completed","married","never",1,1,1,"> 10",47,51,54,51
"11692","female","Negra","master's degree","none","divorced","sometimes",0,1,0,"5 - 10",81,91,87,86
"11694","male","Asiática","master's degree","completed","married","sometimes",0,1,0,"> 10",91,100,97,96
"11695","male","Asiática","some college","none","single","never",1,1,0,"< 5",74,85,80,80
"11696","male","Hispana","master's degree","none","married","regularly",0,0,0,"5 - 10",66,62,63,64
"11698","female","Negra","bachelor's degree","none","married","regularly",0,1,1,"5 - 10",70,79,78,76
"11700","female","Hispana","some college","none","married","regularly",1,1,1,"5 - 10",73,69,74,72
"11701","male","Asiática","some college","completed","divorced","regularly",0,0,0,"5 - 10",88,79,79,82
"11702","female","Americana","some college","none","married","sometimes",0,1,1,"5 - 10",65,72,66,68
"11706","female","Negra","some college","completed","married","never",0,1,0,"5 - 10",71,86,94,84
"11707","male","Negra","associate's degree","none","single","regularly",0,0,0,"> 10",70,57,49,59
"11708","female","Asiática","some high school","none","single","regularly",1,1,1,"< 5",66,74,66,69
"11709","female","Hispana","bachelor's degree","none","divorced","sometimes",1,1,1,"< 5",48,62,62,57
"11712","male","Asiática","high school","completed","divorced","regularly",0,1,1,"5 - 10",86,82,77,82
"11714","female","Hispana","associate's degree","none","single","sometimes",0,1,0,"5 - 10",64,76,69,70
"11716","male","Asiática","master's degree","none","married","sometimes",1,1,1,"5 - 10",68,66,64,66
"11717","male","Americana","some high school","none","single","sometimes",0,0,0,"5 - 10",44,39,31,38
"11718","male","Negra","some high school","completed","married","sometimes",0,0,1,"5 - 10",68,73,67,69
"11719","female","Negra","high school","none","married","sometimes",0,1,1,"< 5",40,46,50,45
"11722","female","Hispana","associate's degree","none","divorced","regularly",0,0,1,"5 - 10",23,35,35,31
"11723","female","Asiática","bachelor's degree","none","married","regularly",1,1,0,"5 - 10",41,57,54,51
"11726","male","Negra","some college","none","widowed","sometimes",0,1,0,"< 5",65,55,50,57
"11727","female","Asiática","some college","none","single","sometimes",1,1,0,"5 - 10",34,46,44,41
"11730","female","Caucásica","high school","none","married","regularly",1,1,0,"> 10",84,85,87,85
"11731","male","Caucásica","some college","completed","married","regularly",0,1,0,"5 - 10",96,81,83,87
"11733","male","Hispana","associate's degree","none","married","sometimes",0,0,0,"5 - 10",38,30,29,32
"11735","female","Negra","some college","completed","married","sometimes",0,1,0,"< 5",63,67,81,70
"11736","female","Asiática","associate's degree","completed","single","sometimes",1,1,1,"5 - 10",44,50,54,49
"11740","female","Asiática","some high school","none","single","regularly",1,1,0,"< 5",65,80,80,75
"11741","male","Caucásica","master's degree","completed","married","regularly",0,1,1,"5 - 10",91,83,84,86
"11742","male","Negra","associate's degree","none","married","sometimes",0,1,0,"< 5",66,65,57,63
"11743","male","Negra","some high school","none","divorced","regularly",0,1,0,"5 - 10",56,58,52,55
"11747","female","Negra","some high school","completed","single","sometimes",0,1,0,"< 5",51,68,63,61
"11750","female","Asiática","bachelor's degree","none","single","never",1,1,0,"5 - 10",83,98,97,93
"11751","male","Negra","master's degree","none","divorced","regularly",0,0,1,"< 5",64,63,62,63
"11752","male","Caucásica","associate's degree","none","widowed","sometimes",1,1,0,"> 10",99,82,79,87
"11754","male","Caucásica","high school","completed","married","never",0,1,1,"> 10",79,73,74,75
"11755","female","Negra","some high school","none","single","sometimes",0,1,0,"5 - 10",58,72,67,66
"11756","male","Negra","high school","none","married","regularly",0,1,0,"< 5",79,75,66,73
"11758","male","Caucásica","some college","completed","married","never",0,1,0,"< 5",94,88,82,88
"11759","male","Caucásica","some high school","completed","married","sometimes",0,1,0,"5 - 10",71,74,66,70
"11761","male","Hispana","associate's degree","completed","married","never",0,1,1,"5 - 10",83,84,82,83
"11763","male","Negra","some high school","none","single","sometimes",1,1,1,"< 5",60,66,55,60
"11764","male","Negra","some high school","none","married","never",0,1,1,"< 5",61,53,44,53
"11765","male","Asiática","high school","none","married","sometimes",0,1,1,"5 - 10",50,43,47,47
"11767","female","Hispana","associate's degree","completed","single","sometimes",0,1,0,"< 5",63,71,81,72
"11768","male","Asiática","bachelor's degree","none","married","regularly",1,1,0,"5 - 10",70,64,64,66
"11770","female","Asiática","some college","none","married","regularly",1,1,0,"5 - 10",50,58,55,54
"11772","female","Asiática","associate's degree","completed","married","never",1,1,0,"5 - 10",75,83,88,82
"11773","female","Hispana","some college","none","married","sometimes",1,1,0,"< 5",78,81,87,82
"11774","male","Asiática","high school","none","divorced","sometimes",1,1,0,"> 10",63,62,69,65
